0,01	-69,57	-69,59
0,02	-92,47	-102,33
0,03	-117,91	-117,48
0,04	-119,07	-118,88
0,05	-120,12	-119,63
0,06	-120,25	-119,93
0,07	-119,96	-120,02
0,08	-120,04	-119,93
0,09	-118,73	-118,71
0,1	-105,82	-106,19
0,11	-104,25	-104,82
0,12	-114,65	-115,36
0,13	-118,33	-118,73
0,14	-114,94	-115,12
0,15	-118,04	-118,14
0,16	-113,74	-112,87
0,17	-107,76	-107,19
0,18	-112,43	-112,44
0,19	-122,7	-123,09
0,2	-122,72	-122,52
0,21	-122,03	-121,89
0,21	-123,28	-123,3
0,22	-121,85	-121,52
0,23	-121,38	-121,35
0,24	-123,42	-123,58
0,25	-123,81	-123,94
0,26	-124,07	-124
0,27	-123,98	-124,12
0,28	-122,89	-123,41
0,29	-118,4	-117,3
0,3	-114,19	-115,01
0,31	-118,89	-121,21
0,32	-121,06	-120,07
0,33	-116,34	-117,05
0,34	-117,59	-117,96
0,35	-111,79	-110,92
0,36	-112,56	-112,23
0,37	-119,45	-120,27
0,38	-123,97	-124,07
0,39	-123,93	-123,68
0,4	-124,16	-124,01
0,41	-123,36	-123,16
0,42	-122,49	-122,56
0,43	-123,89	-124,13
0,44	-124,45	-124,54
0,45	-124,51	-124,36
0,46	-124,43	-124,27
0,47	-124,42	-124,34
0,48	-123,56	-123,56
0,49	-124,13	-124,16
0,5	-124,51	-124,54
0,51	-124,46	-124,57
0,52	-124,56	-124,02
0,53	-123,75	-123,26
0,54	-120,76	-119,89
0,55	-119,85	-119,72
0,56	-121,69	-120,96
0,57	-120,69	-121,44
0,58	-121,28	-116,03
0,59	-108,4	-104,34
0,6	-103,24	-103,62
0,61	-108,17	-112,29
0,62	-119,08	-119,26
0,63	-121,02	-120,97
0,63	-121,69	-117,95
0,64	-122,52	-117,73
0,65	-122,85	-122,05
0,66	-122,13	-121,65
0,67	-122,52	-122,93
0,68	-123,59	-124,34
0,69	-123,95	-124,22
0,7	-124,29	-124,16
0,71	-123,43	-123,68
0,72	-120,86	-120,85
0,73	-118,93	-119,8
0,74	-122,1	-122,89
0,75	-122,86	-123,11
0,76	-122,94	-123,29
0,77	-123,96	-123,61
0,78	-123,7	-123,51
0,79	-122,25	-122,84
0,8	-123,35	-124,04
0,81	-124,3	-124,49
0,82	-124,1	-124,42
0,83	-123,76	-124,42
0,84	-124,35	-124,01
0,85	-124,07	-123,73
0,86	-123,1	-123,47
0,87	-122,56	-122,71
0,88	-122,23	-120,36
0,89	-120,74	-121,26
0,9	-122,79	-124,01
0,91	-123,98	-122,83
0,92	-123,75	-123,54
0,93	-124,2	-124,45
0,94	-124,17	-124,28
0,95	-123,46	-123,88
0,96	-124,03	-124,38
0,97	-123,98	-124,49
0,98	-123,72	-124,33
0,99	-124,28	-124,4
1	-123,67	-124,53
1,01	-123,9	-124,46
1,02	-124,32	-124,35
1,03	-124,33	-123,03
1,04	-123,73	-120,24
1,04	-123,6	-122,43
1,05	-124,39	-124,5
1,06	-124,19	-124,44
1,07	-121,74	-122,85
1,08	-120,98	-122,35
1,09	-123,92	-124,15
1,1	-123,98	-124,06
1,11	-123,99	-124,27
1,12	-124,42	-124,37
1,13	-124,42	-124,37
1,14	-124,23	-124,26
1,15	-124,38	-124,2
1,16	-123,67	-121,25
1,17	-119,31	-117,49
1,18	-116,25	-119,7
1,19	-119,1	-123,5
1,2	-123,62	-123,83
1,21	-123,92	-124,17
1,22	-124,19	-124,53
1,23	-124,02	-124,31
1,24	-124,24	-124,39
1,25	-124,49	-124,44
1,26	-124,52	-124,48
1,27	-124,28	-124,53
1,28	-124,56	-124,48
1,29	-124,46	-124,43
1,3	-124,3	-124,19
1,31	-124,55	-124,27
1,32	-124,44	-124,74
1,33	-124,45	-124,59
1,34	-123,44	-124,31
1,35	-123,06	-122,73
1,36	-121,59	-121,51
1,37	-122,49	-123,15
1,38	-123,14	-123,26
1,39	-121,98	-121,55
1,4	-120,16	-119,62
1,41	-117,94	-117,89
1,42	-113,25	-112,83
1,43	-111,69	-111,91
1,44	-111,18	-112,3
1,45	-110,53	-107,51
1,46	-106,04	-98
1,46	-97,12	-94,58
1,47	-93,38	-98,1
1,48	-95,94	-102,99
1,49	-102,84	-104,36
1,5	-104,51	-107,66
1,51	-106,71	-110,72
1,52	-110,49	-109,36
1,53	-109,99	-109,6
1,54	-108,11	-109,42
1,55	-110,22	-112,81
1,56	-114,67	-116
1,57	-115,62	-116,59
1,58	-116,05	-115,9
1,59	-116,68	-115,19
1,6	-112,79	-109,63
1,61	-110,32	-110,55
1,62	-115,19	-116,3
1,63	-117,49	-116,4
1,64	-116,82	-115,75
1,65	-116,72	-116,06
1,66	-116,25	-113,57
1,67	-112,28	-111,21
1,68	-113,84	-114,29
1,69	-116,31	-115,04
1,7	-115,91	-115,09
1,71	-115,83	-113,9
1,72	-115,19	-112,6
1,73	-112,57	-110,58
1,74	-111,7	-107,72
1,75	-110,36	-101,69
1,76	-103,9	-100,44
1,77	-101,08	-105,22
1,78	-103,45	-111,43
1,79	-110,17	-111,71
1,8	-111,72	-113,38
1,81	-113,57	-116,07
1,82	-116,8	-114,77
1,83	-115,78	-115,64
1,84	-115,55	-118,69
1,85	-117,73	-117,41
1,86	-116,05	-114,96
1,87	-116,05	-118,34
1,88	-119,82	-120,08
1,88	-120,57	-119,5
1,89	-119,99	-120,04
1,9	-120,61	-120,88
1,91	-120,22	-118,34
1,92	-118,44	-118,91
1,93	-121,05	-121,92
1,94	-122,61	-122,22
1,95	-122,91	-122,6
1,96	-122,87	-122,98
1,97	-123,08	-122,64
1,98	-122,11	-121,61
1,99	-122,42	-122,86
2	-123,68	-123,27
2,01	-123,85	-123,19
2,02	-123,59	-122,99
2,03	-123,74	-121,5
2,04	-123,54	-119,39
2,05	-121,7	-120,64
2,06	-121,33	-123,48
2,07	-122,76	-124,26
2,08	-123,97	-124,44
2,09	-124,52	-124,58
2,1	-124,4	-124,38
